uuid,title,category,abstract,link,data_source,gattered_datetime,crawler_datetime,any_category
1d6f3a7b-fe5b-4315-942a-6420a3c03e7f,American Airlines flight out of Hawaii told to make ‘expedited climb’ to avoid mountains,travel,The Federal Aviation Administration says an air traffic controller’s instructions kept an American Airlines flight from hitting mountains near Honolulu International Airport in Hawaii.,https://www.cnn.com/2024/11/15/travel/american-airlines-honolulu-expedited-climb/index.html,cnn_news,2024-11-15 00:00:00,2024-11-16 10:09:02,YES
20356692-5584-40b5-966c-27f731097735,Rare gladiator-shaped knife handle gives insight into Roman celebrity culture,fashion,"A rare knife handle in the shape of a gladiator has been discovered at Hadrian’s Wall in the north of England, shining a new light on the celebrity status of the ancient Roman combatants.",https://www.cnn.com/2024/11/15/style/gladiator-knife-handle-roman-celebrity-intl-scli-gbr/index.html,cnn_news,2024-11-15 00:00:00,2024-11-16 10:09:02,YES
cb51ed1a-3d2e-4949-b247-6142392cc2e4,Urban areas are getting hotter. A startup from one of the world’s hottest cities wants to help,science-and-technology,"Climate change is impacting urban areas especially hard, but FortyGuard believes data can help efforts to cool cities down.",https://www.cnn.com/2024/11/15/tech/fortyguard-urban-heat-ai-hnk-spc/index.html,cnn_news,2024-11-15 00:00:00,2024-11-16 10:09:02,YES
98ce7304-0cb3-4bfd-884c-cee147222f64,How to wash an electric blanket,tv,"Before you get started, check the manufacturer’s guidelines on your product. We’re including directions for how to spot-clean, how to hand-wash and what you need to do if you’re going to put your electric blanket into the washing machine.",https://www.cnn.com/wbd/how-to-wash-an-electric-blanket/index.html,cnn_news,2024-11-15 00:00:00,2024-11-16 10:09:02,YES
23079056-3597-4f50-b57c-d3941e49f38d,Jared Kushner expected to be pivotal to Trump admin’s Middle East efforts without taking a formal job,politics,"President-elect Donald Trump’s son-in-law Jared Kushner is seen as being pivotal to the incoming administration’s Middle East efforts, even though he is not likely to take a formal job within it, regional diplomats and Trump allies told CNN.",https://www.cnn.com/2024/11/15/politics/jared-kushner-trump-middle-east-policy/index.html,cnn_news,2024-11-15 00:00:00,2024-11-16 10:09:02,YES
42952b0a-3fbb-499b-a793-73b326a830ab,How to properly stuff a turkey,tv,"Years ago it was unheard of NOT to stuff your turkey. These days, things have changed because of growing awareness for food-borne illnesses and their risks. The good news is that there’s a way to safely stuff your turkey.",https://www.cnn.com/wbd/how-to-properly-stuff-a-turkey/index.html,cnn_news,2024-11-15 00:00:00,2024-11-16 10:09:02,YES
b362c812-81a3-43a9-a614-2fe14aa6537f,RFK Jr.’s to-do list to make America ‘healthy’ has health experts worried,health,"Although Trump signaled in the runup to the election that he planned to let the vaccine skeptic “go wild” on health, food and medicine, Kennedy’s official selection for the nation’s top health post sent shockwaves through the public ...",https://www.cnn.com/2024/11/15/health/rfk-jr-health-issues-stances/index.html,cnn_news,2024-11-15 00:00:00,2024-11-16 10:09:02,YES
0e3fe015-2a05-4f5e-aaa8-1ab9c658e762,Swashbuckling bike racer Jorge Martin poised to make history in MotoGP season finale,sports,"With movie star looks, a penchant for the high life, and a daring racing style that leaves fans gasping at his audacity, Jorge Martin is something of a throwback to swashbuckling motorcycle racers of a bygone era.",https://www.cnn.com/2024/11/15/sport/jorge-martin-moto-gp-season-finale-spt-intl/index.html,cnn_news,2024-11-15 00:00:00,2024-11-16 10:09:02,YES
ded62fb4-0895-45a1-8479-64e78243a93a,"5 things to know for Nov. 15: Trump’s Cabinet, Measles, Tropical Storm Sara, UFO sightings, Ford",area-world,CNN’s 5 Things brings you the news you need to know every morning.,https://www.cnn.com/2024/11/15/us/5-things-to-know-for-nov-15-trumps-cabinet-measles-tropical-storm-sara-ufo-sightings-ford/index.html,cnn_news,2024-11-15 00:00:00,2024-11-16 10:09:02,YES
7a74359b-de01-46f8-9cd0-4109c857e6cf,Bob Iger is the most confident man in Corporate America,business,"Every hero’s journey has its downbeat second act — the part where many-headed monsters have to be fought back, where the road gets dark and twisty and teeming with threats — before the sun comes up and suddenly everything is, ...",https://www.cnn.com/2024/11/15/business/bob-iger-disney-nightcap/index.html,cnn_news,2024-11-15 00:00:00,2024-11-16 10:09:02,YES
